ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10706101,HZ462434,09/01/2016 12:00:00 AM,040XX N GREENVIEW AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,1912,019,47,6,11,,,2016,10/06/2016 03:54:49 PM,,,
10699294,HZ454754,09/01/2016 12:00:00 AM,048XX W BYRON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,1634,016,45,15,26,,,2016,09/30/2016 03:52:35 PM,,,
10693199,HZ447924,09/01/2016 12:00:00 AM,041XX S FEDERAL ST,0810,THEFT,OVER $500,APARTMENT,false,false,0213,002,3,38,06,1176378,1877703,2016,09/26/2016 03:52:09 PM,41.819771291,-87.628481227,"(41.819771291, -87.628481227)"
10689696,HZ444063,09/01/2016 12:00:00 AM,001XX N WOLCOTT AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,true,1223,012,27,28,20,1163722,1900910,2016,09/26/2016 03:52:09 PM,41.883729075,-87.67425529,"(41.883729075, -87.67425529)"
10678497,HZ431145,09/01/2016 12:00:00 AM,033XX N SHEFFIELD AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1924,019,44,6,06,1169017,1922375,2016,09/15/2016 03:48:20 PM,41.942517023,-87.654187534,"(41.942517023, -87.654187534)"
10675339,HZ427545,09/01/2016 12:00:00 AM,076XX S STEWART AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0621,006,17,69,08A,1174950,1854270,2016,09/12/2016 03:57:28 PM,41.755500696,-87.63441848,"(41.755500696, -87.63441848)"
10674857,HZ426794,09/01/2016 12:00:00 AM,085XX S BENNETT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0412,004,8,45,11,1190338,1848793,2016,09/12/2016 03:57:28 PM,41.740114429,-87.578202208,"(41.740114429, -87.578202208)"
10672804,HZ424442,09/01/2016 12:00:00 AM,021XX W Churchill St,0810,THEFT,OVER $500,STREET,false,false,1434,014,32,24,06,1161519,1912153,2016,09/12/2016 03:57:28 PM,41.914626899,-87.682031471,"(41.914626899, -87.682031471)"
10671877,HZ423713,09/01/2016 12:00:00 AM,092XX S WOODLAWN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0413,004,8,47,14,1185823,1843924,2016,09/12/2016 03:57:28 PM,41.726860894,-87.594897424,"(41.726860894, -87.594897424)"
10669255,HZ420516,09/01/2016 12:00:00 AM,009XX N CENTRAL PARK AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,1112,011,27,23,02,1152211,1905971,2016,09/08/2016 03:48:43 PM,41.897851784,-87.71639126,"(41.897851784, -87.71639126)"
10666863,HZ417532,09/01/2016 12:00:00 AM,015XX W NORTH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1433,014,1,24,06,1165866,1910738,2016,09/08/2016 03:48:43 PM,41.910652354,-87.666101686,"(41.910652354, -87.666101686)"
10701835,HZ457622,09/01/2016 12:01:00 AM,100XX S CRANDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0431,004,7,51,14,,,2016,10/02/2016 03:49:39 PM,,,
10692232,HZ446511,09/01/2016 12:01:00 AM,011XX N WESTERN AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",false,false,1212,012,1,24,02,1160197,1907701,2016,09/26/2016 03:52:09 PM,41.902437713,-87.687011559,"(41.902437713, -87.687011559)"
10689377,HZ443604,09/01/2016 12:01:00 AM,035XX W 26TH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,STREET,false,false,1024,010,22,30,02,1153203,1886501,2016,09/26/2016 03:52:09 PM,41.844404349,-87.713264301,"(41.844404349, -87.713264301)"
10679786,HZ432515,09/01/2016 12:01:00 AM,078XX S PHILLIPS AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,true,0421,004,7,43,06,1193888,1853499,2016,09/15/2016 03:48:20 PM,41.752941866,-87.565041749,"(41.752941866, -87.565041749)"
10670810,HZ422204,09/01/2016 12:01:00 AM,080XX S WABASH AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,0623,006,6,44,06,1178105,1851748,2016,09/08/2016 03:48:43 PM,41.748509119,-87.62293258,"(41.748509119, -87.62293258)"
10666714,HZ417380,09/01/2016 12:01:00 AM,108XX S RIDGEWAY AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2211,022,19,74,06,1153276,1832507,2016,09/08/2016 03:48:43 PM,41.696234854,-87.714422295,"(41.696234854, -87.714422295)"
10665632,HZ416138,09/01/2016 12:01:00 AM,002XX N WABASH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0111,001,42,32,06,1176777,1901797,2016,09/08/2016 03:48:43 PM,41.885877917,-87.626289762,"(41.885877917, -87.626289762)"
10665275,HZ415967,09/01/2016 12:01:00 AM,071XX S WHIPPLE ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0831,008,18,66,06,1157275,1857074,2016,09/08/2016 03:48:43 PM,41.76357108,-87.699117516,"(41.76357108, -87.699117516)"
10664868,HZ415605,09/01/2016 12:01:00 AM,009XX W 85TH ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,true,0613,006,21,71,26,1171616,1848471,2016,09/08/2016 03:48:43 PM,41.739661151,-87.646806288,"(41.739661151, -87.646806288)"
10664851,HZ415586,09/01/2016 12:03:00 AM,054XX W CONGRESS PKWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1522,015,29,25,08B,1140270,1897151,2016,09/08/2016 03:48:43 PM,41.873875851,-87.760466132,"(41.873875851, -87.760466132)"
10666138,HZ416888,09/01/2016 12:05:00 AM,030XX S QUINN ST,0810,THEFT,OVER $500,APARTMENT,false,false,0913,009,11,60,06,1170800,1884580,2016,09/08/2016 03:48:43 PM,41.838766166,-87.648742541,"(41.838766166, -87.648742541)"
10665345,HZ415964,09/01/2016 12:05:00 AM,037XX N KEELER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1731,017,38,16,05,1147743,1924445,2016,09/08/2016 03:48:43 PM,41.948633169,-87.732326342,"(41.948633169, -87.732326342)"
10664898,HZ415595,09/01/2016 12:06:00 AM,047XX W CONGRESS PKWY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,1131,011,24,25,08B,1144935,1897275,2016,09/08/2016 03:48:43 PM,41.874129407,-87.74333513,"(41.874129407, -87.74333513)"
10664844,HZ415589,09/01/2016 12:07:00 AM,053XX N KEDZIE AVE,0460,BATTERY,SIMPLE,STREET,true,false,1712,017,40,13,08B,1154079,1935317,2016,09/08/2016 03:48:43 PM,41.978342338,-87.708744947,"(41.978342338, -87.708744947)"
10664828,HZ415594,09/01/2016 12:07:00 AM,048XX W DIVERSEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2521,025,31,19,14,1143662,1918181,2016,09/08/2016 03:48:43 PM,41.931521715,-87.747484859,"(41.931521715, -87.747484859)"
10664869,HZ415619,09/01/2016 12:11:00 AM,006XX W BRIAR PL,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,true,false,1934,019,44,6,14,1171350,1921161,2016,09/08/2016 03:48:43 PM,41.939134718,-87.645648542,"(41.939134718, -87.645648542)"
10664886,HZ415615,09/01/2016 12:13:00 AM,020XX W 52ND PL,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0932,009,16,61,15,1163447,1869672,2016,09/08/2016 03:48:43 PM,41.798014561,-87.676142823,"(41.798014561, -87.676142823)"
10665302,HZ415742,09/01/2016 12:15:00 AM,014XX W ALTGELD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,1932,019,32,7,07,1166474,1916710,2016,09/08/2016 03:48:43 PM,41.927026877,-87.663696819,"(41.927026877, -87.663696819)"
10664861,HZ415612,09/01/2016 12:15:00 AM,066XX S FAIRFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,0831,008,15,66,08B,1159190,1860434,2016,09/08/2016 03:48:43 PM,41.772752455,-87.69200676,"(41.772752455, -87.69200676)"
10664837,HZ415606,09/01/2016 12:15:00 AM,045XX S JUSTINE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0924,009,3,61,08B,1166765,1874652,2016,09/08/2016 03:48:43 PM,41.811609995,-87.663832864,"(41.811609995, -87.663832864)"
10684875,HZ438216,09/01/2016 12:30:00 AM,038XX N CENTRAL PARK AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,false,false,1732,017,35,16,07,1151706,1925349,2016,09/19/2016 03:49:04 PM,41.951036632,-87.717735127,"(41.951036632, -87.717735127)"
10670887,HZ422546,09/01/2016 12:30:00 AM,065XX S DR MARTIN LUTHER KING JR DR,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,HOTEL/MOTEL,false,false,0312,003,20,69,26,1180046,1861701,2016,09/08/2016 03:48:43 PM,41.775777017,-87.615515787,"(41.775777017, -87.615515787)"
10665970,HZ416610,09/01/2016 12:30:00 AM,027XX N HARLEM AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,2512,025,36,18,05,1127616,1917532,2016,09/08/2016 03:48:43 PM,41.930026507,-87.806466966,"(41.930026507, -87.806466966)"
10665712,HZ416424,09/01/2016 12:30:00 AM,037XX N OSCEOLA AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1631,016,36,17,06,1125741,1923979,2016,09/08/2016 03:48:43 PM,41.947749287,-87.813213525,"(41.947749287, -87.813213525)"
